#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-02-16T09:16:01 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ620cbe9870da	
#INFO	-out.max=1000	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=1000
#-out.add=_RAJ,_DEJ
#-order=I
#-out.src=VIII/1A/3cr
#-nav=cat:VIII/1A&tab:{VIII/1A/3cr}&key:source=VIII/1A/3cr&HTTPPRM:&&-ref=VIZ620cbe9870da&-out.max=1000&-out.form=HTML Table&-out.add=_RAJ,_DEJ&-oc.form=dec&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=3CR&-out=RA1950&-out=DE1950&-out=S178MHz&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=VIII/1A/3cr
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/1A/3cr
#-out=3CR
#-out=RA1950
#-out=DE1950
#-out=S178MHz
#

#RESOURCE=yCat_8001
#Name: VIII/1A
#Title: The 3C and 3CR Catalogues (Edge+ 1959-1962)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_1A_3cr:
#Name: VIII/1A/3cr
#Title: The revised 3C catalogue of radio sources (1962)
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	3CR	(A5)	3CR source designation (1)	[ucd=meta.id;meta.main]
#Column	RA1950	(A10)	Right ascension (1950.0)	[ucd=pos.eq.ra;meta.main]
#Column	DE1950	(A8)	Declination (1950.0)	[ucd=pos.eq.dec;meta.main]
#Column	S178MHz	(F7.1)	Flux density at 178MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
_RAJ2000|_DEJ2000|3CR|RA1950|DE1950|S178MHz
 35.95691|+86.22279| 61.1|02 12 00.0|+85 59.6|   29.0
 35.21973| -2.00499| 63  |02 18 20.4|-02 14.0|   15.0
 35.83418|+43.05677| 66  |02 20 10.4|+42 49.8|   33.0
 35.93389|+40.01981| 65  |02 20 37.9|+39 47.6|   27.0
 36.05224|+27.83942| 67  |02 21 18.3|+27 36.8|   10.0
 38.12907|+34.72009| 68.1|02 29 29.0|+34 30.0|   17.0
 38.59677|+31.55201| 68.2|02 31 24.2|+31 20.0|   12.0
 39.51688|+59.19947| 69  |02 34 20.0|+58 59.0|   23.0
 40.66464| -0.20447| 71  |02 40 06.0|-00 25.0|   13.5
 44.42252| +6.06496| 75  |02 55 02.8|+05 51.9|   23.0
 45.81549|+16.44524| 76.1|03 00 28.0|+16 15.0|    9.5
 47.11039| +4.14564| 78  |03 05 49.3|+03 57.3|   15.0
 47.49637|+17.10267| 79  |03 07 10.4|+16 54.8|   24.0
 49.55943|+41.91374| 83.1|03 14 55.3|+41 43.9|   28.0
 49.94835|+41.51897| 84  |03 16 29.0|+41 20.3|   58.0
 51.83374|+55.31380| 86  |03 23 31.2|+55 08.4|   21.0
 51.97889| +2.58606| 88  |03 25 18.9|+02 24.8|   16.0
 53.57779| -1.06679| 89  |03 31 46.0|-01 14.0|   18.5
 54.43244|+50.75036| 91  |03 34 04.1|+50 35.2|   12.5
 55.88017| +4.95082| 93  |03 40 52.8|+04 47.6|    9.5
 57.19662|+33.89075| 93.1|03 45 36.0|+33 44.3|   10.0
 59.72810|+10.42011| 98  |03 56 10.5|+10 16.7|   41.0
 60.26708| +0.42277| 99  |03 58 30.0|+00 17.0|   10.0
 62.01414|+42.99247|103  |04 04 35.0|+42 51.6|   25.0
 61.85239| +3.70108|105  |04 04 47.1|+03 34.1|   15.0
 63.11564| -0.88939|107  |04 09 55.0|-01 01.0|   11.0
 63.41942|+11.37607|109  |04 10 55.0|+11 15.0|   19.5
 64.59268|+38.01125|111  |04 15 01.6|+37 53.4|   57.0
 65.09455|+17.90215|114  |04 17 29.5|+17 47.0|   10.0
 68.15471|+41.65386|119  |04 29 08.5|+41 32.9|   15.0
 69.27073|+29.67198|123  |04 33 55.8|+29 34.3|  175.0
 70.49827| +1.72776|124  |04 39 24.0|+01 38.0|    9.5
 71.56732|+39.70665|125  |04 42 50.0|+39 37.0|    9.5
 72.25785|+45.03190|129  |04 45 24.7|+44 56.7|   21.0
 72.57907|+44.88542|129.1|04 46 42.0|+44 48.0|   10.5
 73.18674|+51.84944|130  |04 48 50.0|+51 46.0|   12.5
 73.34401|+31.46331|131  |04 50 09.8|+31 22.9|   13.5
 74.18071|+22.80764|132  |04 53 42.7|+22 43.8|   12.5
 75.74463|+25.27368|133  |04 59 54.5|+25 12.2|   19.5
 76.17554|+38.08851|134  |05 01 17.7|+38 01.2|   66.0
 78.57559| +1.25669|135  |05 11 43.0|+01 12.0|   16.0
 78.99241|+24.95498|136.1|05 12 54.0|+24 54.0|   13.0
 79.88603|+50.92787|137  |05 15 38.1|+50 52.6|    9.0
 80.28900|+16.63202|138  |05 18 16.0|+16 35.0|   18.5
 80.66330|+34.04713|139.1|05 19 21.0|+34 00.0|   20.0
 81.11751|+28.22820|139.2|05 21 19.1|+28 11.0|   11.0
 81.67751|+32.82558|141  |05 23 26.3|+32 47.0|   13.0
 82.87585| +6.53282|142.1|05 28 48.9|+06 29.8|   18.0
 83.62721|+22.00605|144  |05 31 30.0|+21 58.4| 1420.0
 85.65379|+49.84676|147  |05 38 44.3|+49 49.4|   58.0
 85.39442| -1.77611|147.1|05 39 03.0|-01 48.0|   14.5
 91.12260|+20.35302|152  |06 01 30.9|+20 21.4|   11.0
 92.38597|+48.04904|153  |06 05 44.6|+48 03.5|   17.5
 92.42346|+21.19005|153.1|06 06 42.0|+21 12.0|   19.0
 93.45785|+26.06676|154  |06 10 43.5|+26 04.9|   19.0
 94.40678|+22.69711|157  |06 14 36.0|+22 43.0|  210.0
 95.42064|+14.49209|158  |06 18 50.0|+14 31.0|   14.0
100.77706|+23.31643|165  |06 40 04.4|+23 22.0|   11.0
101.35419|+21.34698|166  |06 42 25.6|+21 24.0|   13.0
102.83813|+45.04031|169.1|06 47 42.0|+45 06.0|    9.5
103.82743|+54.14087|171  |06 51 14.8|+54 12.3|   23.0
105.58822|+37.99386|173  |06 58 57.0|+38 04.0|   10.0
105.53696|+25.22723|172  |06 59 04.7|+25 18.0|   14.0
107.39743|+75.12059|173.1|07 03 00.0|+75 12.0|   12.0
108.26022|+11.78605|175  |07 10 15.4|+11 52.3|   16.0
108.57669|+15.51296|175.1|07 11 27.0|+15 36.0|   11.5
111.15041|+15.48451|177  |07 21 45.0|+15 35.0|    9.5
111.77304| -2.08517|180  |07 24 34.0|-01 59.0|   14.0
112.04176|+14.64713|181  |07 25 20.0|+14 45.0|   13.0
114.98971|+70.21872|184  |07 34 34.0|+70 20.0|   11.0
115.86607|+80.38325|184.1|07 34 54.0|+80 30.0|   12.0
116.10340|+37.96269|186  |07 41 04.0|+38 05.0|   13.5
116.25695| +1.77826|187  |07 42 26.0|+01 54.0|   11.0
120.41901|+14.31053|190  |07 58 52.0|+14 27.0|   11.0
121.20243|+10.25054|191  |08 02 04.4|+10 23.6|   10.5
121.39968|+24.17319|192  |08 02 36.4|+24 19.0|   19.5
122.51907|+42.46712|194  |08 06 38.9|+42 36.9|    9.0
123.40730|+48.22358|196  |08 10 01.1|+48 22.5|   59.0
123.96643| -2.95427|196.1|08 13 21.0|-02 48.0|   14.5
125.46929|+46.54023|197.1|08 18 21.0|+46 42.0|    9.5
125.63086| +5.95747|198  |08 19 51.9|+06 07.1|   16.5
126.84998|+29.30122|200  |08 24 20.0|+29 28.0|   13.0
129.36119|+65.35891|204  |08 32 59.0|+65 32.0|    9.5
129.84828|+57.65682|205  |08 35 28.0|+57 50.0|   12.5
130.23876|+12.62146|207  |08 38 12.0|+12 48.0|   10.0
133.28914|+13.86035|208  |08 50 23.5|+14 03.0|   16.0
133.69334|+14.50892|208.1|08 52 00.0|+14 42.0|   12.5
134.55073|+27.86435|210  |08 55 13.0|+28 03.5|   10.5
134.69140|+14.22209|212  |08 56 00.0|+14 25.0|   15.5
135.28043|+29.02350|213.1|08 58 07.2|+29 13.2|   11.0
136.63389|+16.75713|215  |09 03 44.4|+16 57.5|   10.0
137.26824|+37.86351|217  |09 05 55.0|+38 04.0|   12.0
137.39895|+42.90646|216  |09 06 19.5|+43 06.6|   18.5
140.28933|+45.64549|219  |09 17 51.5|+45 51.5|   44.0
143.28574|+79.97924|220.1|09 26 42.0|+80 12.0|   12.0
142.72660|+35.87963|220.2|09 27 51.0|+36 06.0|    9.5
145.11724|+83.57464|220.3|09 32 00.0|+83 48.0|   14.5
144.13197| +4.42367|222  |09 33 54.8|+04 38.9|    9.0
144.97867|+35.90644|223  |09 36 53.0|+36 08.0|   14.5
145.35715|+39.70541|223.1|09 38 20.0|+39 56.0|    9.5
145.58003|+13.83797|225  |09 39 36.0|+14 04.0|   25.0
146.08897| +9.85321|226  |09 41 41.0|+10 05.0|   13.5
146.94005| +7.42423|227  |09 45 07.0|+07 39.4|   28.0
147.53345|+14.26602|228  |09 47 25.0|+14 30.0|   16.0
147.99750| -0.02692|230  |09 49 25.6|+00 12.5|   21.0
148.87437|+69.84639|231  |09 51 20.0|+70 05.0|   13.0
150.45598|+28.78537|234  |09 58 57.3|+29 01.6|   29.0
151.50943|+34.80622|236  |10 03 06.0|+35 03.0|    9.0
152.00075| +7.48662|237  |10 05 22.2|+07 43.9|   24.0
152.75128| +6.44491|238  |10 08 23.0|+06 41.5|   13.0
152.97585|+46.41958|239  |10 08 48.0|+46 40.0|   12.0
155.47932|+21.94577|241  |10 19 09.9|+22 11.9|   10.0
158.43600|+58.44188|244.1|10 30 30.0|+58 42.0|   19.0
160.72338|+12.10443|245  |10 40 15.0|+12 22.0|    9.5
164.75002|+43.03192|247  |10 56 09.4|+43 18.0|   15.5
165.54338| -1.26919|249  |10 59 37.0|-01 00.0|   20.0
166.00091|+77.23052|249.1|11 00 12.0|+77 30.0|   11.5
167.21899|+24.98057|250  |11 06 11.7|+25 15.1|   11.0
167.92540|+35.62816|252  |11 08 58.0|+35 54.0|   12.0
168.66545|+40.62742|254  |11 11 54.3|+40 54.0|   19.0
169.89663| -2.79047|255  |11 17 02.0|-02 31.0|   16.5
170.18125|+23.48433|256  |11 18 04.6|+23 45.5|    9.5
170.82441| +5.59210|257  |11 20 43.0|+05 52.0|    9.0
171.20627|+19.37515|258  |11 22 12.0|+19 39.0|    9.0
174.92878|+65.83959|263  |11 36 55.0|+66 07.0|   13.0
175.85660|+22.13248|263.1|11 40 49.7|+22 24.6|   17.5
176.27977|+19.59566|264  |11 42 31.7|+19 52.4|   24.0
176.37083|+31.56065|265  |11 42 52.4|+31 50.3|   18.0
176.43766|+49.76065|266  |11 43 05.9|+50 02.3|    9.0
177.50214|+12.88863|267  |11 47 26.0|+13 10.0|   13.5
180.11888|+73.12169|268.1|11 57 54.0|+73 24.0|   19.5
180.24587|+31.51998|268.2|11 58 25.2|+31 47.9|    9.0
181.67664|+64.52176|268.3|12 04 12.0|+64 48.0|    9.5
182.31715|+43.66850|268.4|12 06 44.6|+43 56.8|    9.0
184.79796| +5.83746|270  |12 16 38.3|+06 06.9|   44.0
185.14454|+33.65598|270.1|12 18 04.7|+33 56.0|   12.0
186.12585|+42.10643|272  |12 22 02.6|+42 23.0|    9.5
186.27983|+12.82313|272.1|12 22 35.0|+13 06.0|   18.0
187.27186| +2.06699|273  |12 26 31.8|+02 20.6|   67.0
187.70770|+12.39227|274  |12 28 18.0|+12 40.1|  970.0
188.86272|+21.32640|274.1|12 32 57.2|+21 36.1|   15.0
190.59899| -4.92394|275  |12 39 49.0|-04 39.0|    9.5
190.99156|+16.43645|275.1|12 41 27.9|+16 42.6|   16.0
192.93483|+50.59677|277  |12 49 28.5|+50 52.1|   12.5
193.12011|+56.92865|277.1|12 50 18.0|+57 12.0|   12.0
193.38551|+15.52885|277.2|12 51 03.0|+15 48.0|    9.5
193.55584|+27.61573|277.3|12 51 47.7|+27 53.2|   11.5
194.24578|+47.33156|280  |12 54 42.8|+47 36.1|   20.0
195.13943|+40.11763|280.1|12 58 14.2|+40 23.2|   11.0
197.77744|+27.43450|284  |13 08 43.3|+27 42.0|   10.5
200.33456|+42.60022|285  |13 19 07.7|+42 51.7|   10.5
202.66145|+25.16925|287  |13 28 17.0|+25 25.6|   14.0
202.78594|+30.50284|286  |13 28 50.0|+30 45.6|   21.0
203.22403| +2.06523|287.1|13 30 21.0|+02 19.3|   11.5
204.70598|+38.81326|288  |13 36 38.0|+39 04.0|   14.5
205.63313|+59.94863|288.1|13 40 48.0|+60 12.0|    9.5
206.36687|+49.76510|289  |13 43 29.2|+50 00.9|    9.5
208.07355|+31.40877|293  |13 50 03.0|+31 39.3|   12.0
208.68879|+16.45511|293.1|13 52 21.0|+16 42.0|    9.5
211.68712|+34.29580|294  |14 04 35.0|+34 32.0|    9.0
212.83706|+52.23224|295  |14 09 33.8|+52 28.0|   73.0
214.21360| +8.28562|296  |14 14 23.0|+08 31.0|   12.5
214.33932| -4.19744|297  |14 14 45.0|-03 58.0|    9.5
214.78462| +6.46217|298  |14 16 38.9|+06 41.5|   44.0
215.27877|+41.74876|299  |14 19 07.5|+41 58.6|   11.0
215.75027|+19.61993|300  |14 20 40.2|+19 50.8|   16.0
217.17011| -1.62278|300.1|14 26 06.0|-01 24.0|   10.5
220.75914|+52.08354|303  |14 41 24.4|+52 17.7|   12.5
220.86954|+76.98979|303.1|14 44 06.0|+77 12.0|   11.5
222.30427|+63.34374|305  |14 48 09.0|+63 33.0|   13.5
221.94647|+76.69326|305.1|14 48 24.0|+76 54.0|   11.5
223.84129| -4.00190|306.1|14 52 45.0|-03 48.0|   12.5
224.93834|+72.50298|309.1|14 59 42.0|+72 42.0|   17.0
226.24963|+26.02824|310  |15 02 49.7|+26 13.3|   51.0
227.74801| +7.83006|313  |15 08 32.6|+08 01.1|   28.0
227.73557|+71.11277|314.1|15 10 48.0|+71 18.0|    9.0
228.41868|+26.10929|315  |15 11 31.2|+26 17.7|   17.5
229.18837| +7.00360|317  |15 14 17.7|+07 11.2|   43.0
230.02600|+20.28013|318  |15 17 51.4|+20 27.6|   10.0
230.46081| +7.65997|318.1|15 19 23.8|+07 50.3|   11.0
231.03731|+54.47436|319  |15 22 48.0|+54 39.0|   17.0
232.88531|+35.71446|320  |15 29 37.0|+35 53.0|   11.5
232.95990|+24.04128|321  |15 29 40.4|+24 12.6|   12.5
233.84151|+55.91853|322  |15 34 08.0|+56 05.0|    9.5
235.47802|+60.14180|323  |15 40 57.0|+60 18.0|    9.5
236.93739|+20.90203|323.1|15 45 32.6|+21 03.3|    9.0
237.46098|+21.44416|324  |15 47 39.0|+21 35.7|   11.5
237.46871|+62.68330|325  |15 49 08.0|+62 50.0|   10.5
238.11154|+20.12348|326  |15 50 13.8|+20 16.3|   10.0
239.04499|+20.09068|326.1|15 53 58.0|+20 14.1|    9.0
240.62818| +1.91879|327  |15 59 59.0|+02 03.4|   40.0
241.19258| +1.26617|327.1|16 02 13.8|+01 24.1|   24.0
242.33043|+66.03726|330  |16 08 59.0|+66 10.0|   24.0
244.42625|+32.34547|332  |16 15 46.7|+32 28.0|   10.5
245.08980|+17.40819|334  |16 18 06.8|+17 31.6|   10.0
246.16527|+23.75469|336  |16 22 32.8|+23 52.1|   13.5
247.02571|+27.69857|341  |16 26 04.7|+27 48.5|   10.5
247.16501|+39.55604|338  |16 26 56.7|+39 39.9|   41.0
247.20752|+44.22465|337  |16 27 16.0|+44 20.0|   17.0
247.40495|+23.38521|340  |16 27 30.1|+23 29.6|   11.0
248.71241|+62.69866|343  |16 34 18.0|+62 48.0|    9.5
249.65918|+62.70297|343.1|16 38 06.0|+62 48.0|    9.0
250.74954|+39.75728|345  |16 41 18.6|+39 51.0|   10.0
250.95360|+17.23622|346  |16 41 34.7|+17 19.7|   11.0
252.78534| +4.97952|348  |16 48 40.3|+05 03.8|  325.0
254.89349|+47.05999|349  |16 58 10.0|+47 08.0|   12.0
256.17046|+60.73312|351  |17 04 03.0|+60 48.0|   11.0
257.67180|+45.97307|352  |17 09 15.0|+46 02.0|   11.0
260.12917| -0.99926|353  |17 17 56.1|-00 57.0|  203.0
261.07647|+50.96446|356  |17 23 06.0|+51 00.5|   14.5
262.08097|+31.74387|357  |17 26 26.6|+31 47.0|    9.0
268.23850| +5.58996|363.1|17 50 30.0|+05 36.0|   90.0
271.26189|+10.95472|368  |18 02 42.0|+10 57.0|   14.0
271.64630|+69.92498|371  |18 07 04.0|+69 55.0|    9.5
273.83320| -3.58298|372.1|18 12 42.0|-03 36.0|   41.0
276.24909|+74.43116|379.1|18 26 24.0|+74 24.0|    9.5
277.38721|+48.72169|380  |18 28 14.6|+48 41.2|   57.0
278.45766|+47.44014|381  |18 32 28.0|+47 24.0|   12.5
278.76420|+32.69465|382  |18 33 12.0|+32 39.2|   20.0
279.60561|+17.16513|386  |18 36 11.9|+17 07.2|   24.0
281.01613|+45.58568|388  |18 42 37.0|+45 32.0|   22.0
281.39336| +9.87026|390  |18 43 12.0|+09 49.0|   19.0
281.57761| -3.32901|389  |18 43 41.0|-03 23.0|   21.0
281.60904| +6.65458|390.1|18 44 00.0|+06 36.0|   51.0
281.95587| -3.14388|390.2|18 45 12.0|-03 12.0|  110.0
280.63751|+80.05358|390.3|18 46 12.0|+80 00.0|   44.0
282.34113| -0.92535|391  |18 46 47.0|-00 59.0|   24.0
284.02645| +1.29932|392  |18 53 34.0|+01 14.0|  400.0
284.83704|+13.00327|394  |18 57 02.0|+12 56.0|   12.0
286.01404| +5.46704|396  |19 01 35.7|+05 23.5|   22.0
286.78050| -3.12114|396.1|19 04 30.0|-03 12.0|   30.0
286.88786| +7.15780|397  |19 05 07.3|+07 04.7|   28.0
287.78178| +9.09531|398  |19 08 44.0|+09 00.7|   55.0
288.98451|+30.29612|399.1|19 13 59.4|+30 12.4|   12.5
289.51635|+10.69166|399.2|19 15 42.0|+10 36.0|   19.0
290.94864|+14.49824|400  |19 21 30.0|+14 24.0|  540.0
291.15220|+35.99943|400.1|19 22 48.0|+35 54.0|   16.5
294.68603|+17.51504|400.2|19 36 30.0|+17 24.0|   22.0
295.09645|+60.70098|401  |19 39 37.0|+60 35.0|   19.0
295.44611|+50.61054|402  |19 40 26.7|+50 29.5|   13.0
298.06143| +2.61962|403  |19 49 43.6|+02 29.4|   26.0
298.12408| -1.87015|403.1|19 49 54.0|-02 00.0|   12.5
298.48772|+32.03174|403.2|19 52 00.0|+31 54.0|   50.0
299.87166|+40.73774|405  |19 57 45.3|+40 36.0| 8100.0
303.61673|+23.57470|409  |20 12 18.5|+23 25.3|   73.0
304.90967|+45.35849|409.1|20 18 00.0|+45 12.0|  230.0
305.02199|+29.69875|410  |20 18 02.7|+29 32.4|   32.0
305.34849|+40.26016|410.1|20 19 36.0|+40 06.0|  410.0
305.54624|+10.14400|411  |20 19 47.0|+09 59.0|   14.0
308.20840|+43.47135|415.1|20 31 06.0|+43 18.0|   24.0
308.17926|+53.74807|415.2|20 31 20.8|+53 34.6|   10.0
308.75770|+47.04016|416.1|20 33 24.0|+46 52.0|   60.0
308.94769|+41.72414|416.2|20 34 00.0|+41 33.0|  160.0
309.65300|+51.29527|418  |20 37 07.1|+51 07.1|   12.5
310.22246|+42.27893|419.1|20 39 06.0|+42 06.0|   74.0
312.05031| +7.07536|424  |20 45 44.4|+06 53.4|   12.5
316.12600|+76.80094|427.1|21 05 12.0|+76 36.0|   23.0
317.10664|+49.56824|428  |21 06 45.2|+49 21.9|   19.0
319.55558|+60.79466|430  |21 16 57.0|+60 35.0|   29.0
319.73149|+49.57172|431  |21 17 12.5|+49 21.6|   21.0
320.69572|+17.08785|432  |21 20 26.2|+16 52.4|   11.5
320.94226|+25.09364|433  |21 21 32.1|+24 52.7|   52.0
321.02797|+16.03220|434  |21 21 45.0|+15 49.0|   10.5
321.19219|+52.01627|434.1|21 23 06.0|+51 48.0|   23.0
322.28048| +7.66930|435  |21 26 39.0|+07 27.0|    9.5
322.70788|+84.62305|435.1|21 35 12.0|+84 24.0|   12.0
326.05358|+28.15850|436  |21 41 59.1|+27 55.7|   15.0
326.84914|+15.28228|437  |21 45 00.0|+15 03.0|   10.5
327.70385|+13.93454|437.1|21 48 24.0|+13 42.0|    5.0
328.96782|+38.00119|438  |21 53 45.5|+37 45.8|   37.0
331.52401|+29.52237|441  |22 03 50.1|+29 16.7|   13.0
333.84380|+13.83256|442  |22 12 56.0|+13 35.0|   20.0
335.94989| -2.15640|445  |22 21 13.1|-02 24.6|   23.0
337.84195|+39.20729|449  |22 29 09.0|+38 57.0|   13.5
341.45613|+39.67513|452  |22 43 33.5|+39 24.7|   49.0
342.90253|+18.83064|454  |22 49 09.6|+18 33.9|    9.0
342.78851|+71.86558|454.1|22 49 36.0|+71 36.0|    9.5
343.06509|+65.06593|454.2|22 50 24.0|+64 48.0|   10.5
343.54399|+15.26656|454.3|22 51 42.0|+15 00.0|   15.0
343.79696|+13.46691|455  |22 52 42.0|+13 12.0|   13.0
348.14783| +9.37214|456  |23 10 04.0|+09 06.0|   13.0
348.21994| +5.37222|458  |23 10 20.3|+05 06.0|   10.0
349.14855| +4.18980|459  |23 14 02.8|+03 55.0|   22.0
350.37089|+23.80920|460  |23 19 00.3|+23 32.1|    9.5
350.85996|+58.82624|461  |23 21 10.6|+58 33.1|11000.0
354.63093|+26.94700|465  |23 36 01.0|+26 40.2|   35.0
357.76478|+64.67805|468.1|23 48 36.0|+64 24.0|   34.0
358.97957|+80.07824|469.1|23 53 30.0|+79 48.0|   11.5
359.65467|+44.10499|470  |23 56 04.1|+43 49.6|    9.0

